Date,Price,Open,High,Low,Vol.,Change %
1/1/22,"42,978.10","46,217.50","47,944.90","39,697.00",788.34K,-7.01%
12/1/21,"46,219.50","56,891.70","59,064.30","42,587.80",1.90M,-18.75%
11/1/21,"56,882.90","61,310.10","68,990.60","53,448.30",1.85M,-7.22%
10/1/21,"61,309.60","43,824.40","66,967.10","43,292.90",2.18M,39.90%
9/1/21,"43,823.30","47,129.20","52,885.30","39,646.80",2.21M,-7.02%
8/1/21,"47,130.40","41,510.00","50,498.80","37,365.40",2.14M,13.42%
7/1/21,"41,553.70","35,030.70","42,285.30","29,310.20",2.44M,18.63%
6/1/21,"35,026.90","37,294.30","41,318.00","28,901.80",4.14M,-6.09%
5/1/21,"37,298.60","57,719.10","59,523.90","30,261.70",5.33M,-35.38%
4/1/21,"57,720.30","58,763.20","64,778.00","47,098.50",2.97M,-1.78%
3/1/21,"58,763.70","45,160.50","61,795.80","45,008.80",3.01M,30.11%
2/1/21,"45,164.00","33,106.80","58,335.10","32,324.90",4.01M,36.41%
1/1/21,"33,108.10","28,951.70","41,921.70","28,204.50",5.50M,14.37%
12/1/20,"28,949.40","19,697.80","29,298.80","17,600.10",3.85M,46.97%
11/1/20,"19,698.10","18,394.60","19,831.20","16,235.20",4.05M,42.77%
10/1/20,"13,797.30","10,776.60","14,065.40","10,387.60",2.41M,28.04%
9/1/20,"10,776.10","11,644.20","12,045.90","9,877.10",83.88M,-7.46%
8/1/20,"11,644.20","11,333.20","12,444.10","10,730.70",15.39M,2.74%
7/1/20,"11,333.40","10,961.10","11,434.80","10,771.80",13.21M,24.06%
6/1/20,"9,135.40","9,454.50","10,301.80","8,865.30",15.35M,-3.38%
5/1/20,"9,454.80","8,628.60","10,033.00","8,235.60",38.48M,9.57%
4/1/20,"8,629.00","6,412.40","9,437.50","6,157.40",39.41M,34.56%
3/1/20,"6,412.50","8,543.80","9,180.80","3,869.50",48.24M,-24.94%
2/1/20,"8,543.70","9,349.30","10,482.60","8,543.70",23.76M,-8.62%
1/1/20,"9,349.10","7,196.40","9,569.00","6,884.10",23.56M,29.91%
12/1/19,"7,196.40","7,546.50","7,702.20","6,462.20",21.03M,-4.64%
11/1/19,"7,546.60","9,153.10","9,500.40","6,534.80",21.33M,-17.55%
10/1/19,"9,152.60","8,285.00","10,540.00","7,329.20",19.93M,10.48%
9/1/19,"8,284.30","9,594.70","10,896.20","7,749.00",13.58M,-13.65%
8/1/19,"9,594.40","10,081.90","12,291.90","9,343.00",17.53M,-4.84%
7/1/19,"10,082.00","10,821.40","13,134.40","9,082.60",23.61M,-6.81%
6/1/19,"10,818.60","8,556.90","13,929.80","7,480.40",22.96M,26.41%
5/1/19,"8,558.30","5,321.10","9,045.90","5,319.50",44.06M,60.85%
4/1/19,"5,320.80","4,102.30","5,594.40","4,076.80",54.03M,29.70%
3/1/19,"4,102.30","3,816.70","4,138.10","3,681.80",81.62M,7.49%
2/1/19,"3,816.60","3,437.70","4,194.20","3,382.50",23.13M,11.04%
